problem,prover,mode,expected,result,time_s,pass
GRND031-odrl-rel-is-legal-rel,Vampire 5.0,casc,Theorem,Theorem,0.067,PASS
GRND032-odrl-rel-typing-rem,Vampire 5.0,casc,Theorem,Theorem,0.068,PASS
GRND033-odrl-rel-typing-imm,Vampire 5.0,casc,Theorem,Theorem,0.067,PASS
GRND034-disability-exists,Vampire 5.0,casc,Theorem,Theorem,0.069,PASS
GRND001,Z3 4.12.2,default,sat,sat-timeout,10.095,PASS
GRND002,Z3 4.12.2,default,unsat,unsat,0.071,PASS
GRND003,Z3 4.12.2,default,unsat,unsat,0.067,PASS
GRND004,Z3 4.12.2,default,unsat,unsat,0.065,PASS
GRND005,Z3 4.12.2,default,unsat,unsat,0.061,PASS
GRND006,Z3 4.12.2,default,unsat,unsat,0.067,PASS
GRND007-open,Z3 4.12.2,default,unsat,unsat,0.112,PASS
GRND007-closed,Z3 4.12.2,default,sat,sat-timeout,10.06,PASS
GRND008-sanctioned,Z3 4.12.2,default,unsat,unsat,0.064,PASS
GRND008-regimented,Z3 4.12.2,default,unsat,unsat,0.062,PASS
GRND009-immunity,Z3 4.12.2,default,unsat,unsat,0.064,PASS
GRND009-no-immunity,Z3 4.12.2,default,unsat,unsat,0.064,PASS
GRND010-strong-perm,Z3 4.12.2,default,unsat,unsat,0.076,PASS
GRND011-obl-relator,Z3 4.12.2,default,unsat,unsat,0.067,PASS
GRND012-corr-duty,Z3 4.12.2,default,unsat,unsat,0.36,PASS
GRND013-corr-power,Z3 4.12.2,default,unsat,unsat,0.073,PASS
GRND014-corr-immunity,Z3 4.12.2,default,unsat,unsat,0.069,PASS
GRND015-unique-founding,Z3 4.12.2,default,unsat,unsat,0.063,PASS
GRND016-conflict-relator,Z3 4.12.2,default,unsat,unsat,0.062,PASS
GRND017-violation-chain,Z3 4.12.2,default,unsat,unsat,0.067,PASS
GRND018-about-event,Z3 4.12.2,default,unsat,unsat,0.063,PASS
GRND019-two-policy-conflict,Z3 4.12.2,default,unsat,unsat,0.066,PASS
GRND020-strong-perm-full-h2,Z3 4.12.2,default,unsat,unsat,0.077,PASS
GRND021-remedy-chain,Z3 4.12.2,default,unsat,unsat,0.063,PASS
GRND022-corr-nonunique,Z3 4.12.2,default,unsat,unsat,0.075,PASS
GRND023-policy-issuance,Z3 4.12.2,default,unsat,unsat,0.063,PASS
GRND024-obl-proh-coexist,Z3 4.12.2,default,sat,sat-timeout,10.113,PASS
GRND025-unique-founding-rem,Z3 4.12.2,default,unsat,unsat,0.067,PASS
GRND026-unique-founding-imm,Z3 4.12.2,default,unsat,unsat,0.071,PASS
GRND027-unique-event-rem,Z3 4.12.2,default,unsat,unsat,0.069,PASS
GRND028-unique-event-imm,Z3 4.12.2,default,unsat,unsat,0.104,PASS
GRND029-b2-power-about-event,Z3 4.12.2,default,unsat,unsat,0.078,PASS
GRND030-b3-subjection-about-event,Z3 4.12.2,default,unsat,unsat,0.072,PASS
GRND031-odrl-rel-is-legal-rel,Z3 4.12.2,default,unsat,unsat,0.07,PASS
GRND032-odrl-rel-typing-rem,Z3 4.12.2,default,unsat,unsat,0.067,PASS
GRND033-odrl-rel-typing-imm,Z3 4.12.2,default,unsat,unsat,0.067,PASS
GRND034-disability-exists,Z3 4.12.2,default,unsat,unsat,0.083,PASS
