kb,problem,level,pct,type,expected,vampire,vampire_t,z3,pass
DPV,DPV_C05,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_C05,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
DPV,DPV_C05,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
DPV,DPV_C05,pct75,75%,CONFLICT,Unknown_or_Theorem,Unknown,30.08,Unknown,False
DPV,DPV_C05,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
DPV,DPV_C06,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_C06,pct25,25%,CONFLICT,Unknown_or_Theorem,Unknown,30.07,Unknown,False
DPV,DPV_C06,pct50,50%,CONFLICT,Unknown_or_Theorem,Unknown,30.07,Unknown,False
DPV,DPV_C06,pct75,75%,CONFLICT,Unknown_or_Theorem,Unknown,30.07,Unknown,False
DPV,DPV_C06,empty,100%,CONFLICT,Unknown,Unknown,30.08,Unknown,True
DPV,DPV_C07,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_C07,pct25,25%,CONFLICT,Unknown_or_Theorem,Unknown,30.07,Unknown,False
DPV,DPV_C07,pct50,50%,CONFLICT,Unknown_or_Theorem,Unknown,30.07,Unknown,False
DPV,DPV_C07,pct75,75%,CONFLICT,Unknown_or_Theorem,Unknown,30.07,Unknown,False
DPV,DPV_C07,empty,100%,CONFLICT,Unknown,Unknown,30.08,Unknown,True
DPV,DPV_C08,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_C08,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
DPV,DPV_C08,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
DPV,DPV_C08,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
DPV,DPV_C08,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
DPV,DPV_M01,full,0%,COMPAT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_M01,pct25,25%,COMPAT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_M01,pct50,50%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M01,pct75,75%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M01,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M02,full,0%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M02,pct25,25%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M02,pct50,50%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M02,pct75,75%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M02,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M03,full,0%,COMPAT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_M03,pct25,25%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M03,pct50,50%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M03,pct75,75%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M03,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M04,full,0%,COMPAT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_M04,pct25,25%,COMPAT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_M04,pct50,50%,COMPAT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_M04,pct75,75%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M04,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M05,full,0%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M05,pct25,25%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M05,pct50,50%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_M05,pct75,75%,COMPAT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_M05,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_C01,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_C01,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
LANG,LANG_C01,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
LANG,LANG_C01,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C01,empty,100%,CONFLICT,Unknown,Unknown,30.08,Unknown,True
LANG,LANG_C02,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_C02,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C02,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C02,pct75,75%,CONFLICT,Unknown_or_Theorem,Unknown,30.07,Unknown,False
LANG,LANG_C02,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
LANG,LANG_C03,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_C03,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C03,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C03,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C03,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
LANG,LANG_C04,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_C04,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C04,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C04,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
LANG,LANG_C04,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
LANG,LANG_C05,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_C05,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C05,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C05,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
LANG,LANG_C05,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
LANG,LANG_C06,full,0%,CONFLICT,Theorem,Theorem,0.08,Theorem,True
LANG,LANG_C06,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C06,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C06,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
LANG,LANG_C06,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
LANG,LANG_C07,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_C07,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C07,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
LANG,LANG_C07,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
LANG,LANG_C07,empty,100%,CONFLICT,Unknown,Unknown,1052.38,Unknown,True
LANG,LANG_C08,full,0%,CONFLICT,Theorem,Theorem,0.09,Theorem,True
LANG,LANG_C08,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.26,Theorem,False
LANG,LANG_C08,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.09,Theorem,False
LANG,LANG_C08,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
LANG,LANG_C08,empty,100%,CONFLICT,Unknown,Unknown,956.24,Unknown,True
LANG,LANG_M01,full,0%,COMPAT,Theorem,Theorem,0.08,Theorem,True
LANG,LANG_M01,pct25,25%,COMPAT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_M01,pct50,50%,COMPAT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_M01,pct75,75%,COMPAT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_M01,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M02,full,0%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M02,pct25,25%,COMPAT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_M02,pct50,50%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M02,pct75,75%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M02,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M03,full,0%,COMPAT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_M03,pct25,25%,COMPAT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_M03,pct50,50%,COMPAT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_M03,pct75,75%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M03,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M04,full,0%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M04,pct25,25%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M04,pct50,50%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M04,pct75,75%,COMPAT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_M04,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M05,full,0%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M05,pct25,25%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M05,pct50,50%,COMPAT,Theorem,Theorem,0.06,Theorem,True
LANG,LANG_M05,pct75,75%,COMPAT,Theorem,Theorem,0.07,Theorem,True
LANG,LANG_M05,empty,100%,COMPAT,Theorem,Theorem,0.07,Theorem,True
